                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0188,                 5.4295,                 1.6171,                 0.7163,                0.14421,                 0.1181,                0.05189,                  2.011,                 2.4719,                 1.4063,             0.00010079,             0.00010079,             0.00010079
                      2,                 1.8675,                 3.5374,                 1.4717,                0.41179,                0.24918,                0.23091,                0.10721,                 1.9225,                 2.0224,                 1.3355,             0.00019913,             0.00019913,             0.00019913
                      3,                 1.8373,                 2.7994,                 1.4402,                0.42206,                0.26674,                0.26236,                0.12144,                  1.928,                 1.7781,                 1.3522,              0.0002948,              0.0002948,              0.0002948
                      4,                 1.7989,                 2.3167,                 1.4308,                0.61437,                0.26207,                0.29106,                0.13028,                 1.8641,                 1.6905,                 1.3389,               0.000291,               0.000291,               0.000291
                      5,                 1.7639,                 2.1049,                 1.3953,                0.52081,                0.29776,                0.37852,                0.17616,                 1.7849,                 1.6254,                 1.2824,               0.000291,               0.000291,               0.000291
                      6,                 1.7362,                 1.9752,                 1.3754,                0.56673,                0.34522,                0.37839,                0.16701,                  1.826,                 1.5113,                  1.293,               0.000287,               0.000287,               0.000287
                      7,                 1.7143,                 1.8404,                 1.3605,                0.63335,                0.37932,                 0.3962,                0.17901,                 1.7653,                 1.5052,                 1.2683,               0.000283,               0.000283,               0.000283
                      8,                 1.6958,                 1.7754,                 1.3376,                 0.4781,                0.42041,                 0.4006,                  0.174,                 1.7583,                 1.4456,                 1.2618,               0.000279,               0.000279,               0.000279
                      9,                 1.6875,                 1.7482,                 1.3351,                0.53298,                0.34621,                0.36703,                0.16933,                 1.7764,                  1.474,                  1.273,               0.000275,               0.000275,               0.000275
                     10,                 1.6504,                 1.6825,                 1.3197,                0.51628,                0.46913,                0.43132,                0.21312,                 1.7176,                 1.3986,                 1.2474,               0.000271,               0.000271,               0.000271
                     11,                 1.6478,                 1.6635,                 1.3176,                0.57196,                0.41713,                0.47549,                0.21489,                 1.7434,                 1.3871,                 1.2491,               0.000267,               0.000267,               0.000267
                     12,                 1.6391,                 1.6516,                 1.3188,                0.59376,                0.43809,                0.49655,                0.23163,                 1.7283,                 1.3731,                 1.2522,               0.000263,               0.000263,               0.000263
                     13,                 1.6099,                 1.5847,                 1.2941,                0.64003,                0.39427,                0.47412,                0.23436,                 1.6987,                  1.339,                  1.232,               0.000259,               0.000259,               0.000259
                     14,                 1.6061,                 1.5677,                 1.2962,                0.63831,                 0.4332,                0.46196,                0.23252,                 1.6672,                 1.3346,                 1.2155,               0.000255,               0.000255,               0.000255
                     15,                 1.5959,                 1.5667,                 1.2885,                0.54936,                0.45488,                0.49192,                0.24465,                 1.6913,                 1.3124,                 1.2302,             0.00025101,             0.00025101,             0.00025101
                     16,                 1.6005,                 1.5382,                 1.2936,                0.63963,                0.41537,                0.47828,                 0.2331,                 1.6998,                 1.2934,                 1.2408,             0.00024701,             0.00024701,             0.00024701
                     17,                 1.5642,                 1.5091,                   1.27,                0.55528,                 0.4574,                0.47594,                0.23323,                 1.6909,                  1.282,                 1.2248,             0.00024301,             0.00024301,             0.00024301
                     18,                 1.5684,                 1.4855,                 1.2694,                0.59657,                0.53848,                 0.4735,                0.25192,                 1.6639,                 1.2769,                  1.214,             0.00023901,             0.00023901,             0.00023901
                     19,                 1.5644,                 1.4683,                 1.2675,                0.57054,                0.46458,                0.47409,                0.24703,                 1.6739,                 1.2625,                 1.2155,             0.00023501,             0.00023501,             0.00023501
                     20,                 1.5424,                 1.4803,                 1.2601,                0.70984,                0.42196,                0.50309,                0.24558,                 1.6918,                 1.2975,                  1.217,             0.00023101,             0.00023101,             0.00023101
                     21,                 1.5465,                 1.4308,                 1.2525,                0.63706,                0.49318,                0.51213,                 0.2531,                 1.7063,                 1.2785,                 1.2324,             0.00022701,             0.00022701,             0.00022701
                     22,                 1.5409,                 1.4265,                  1.251,                0.62846,                0.54315,                 0.5439,                0.28632,                 1.6588,                 1.2283,                 1.1991,             0.00022301,             0.00022301,             0.00022301
                     23,                 1.5272,                 1.4295,                 1.2489,                0.61643,                0.50497,                0.55117,                0.27702,                 1.6501,                 1.2362,                 1.2017,             0.00021901,             0.00021901,             0.00021901
                     24,                 1.5191,                 1.4042,                 1.2415,                0.67006,                0.46379,                0.54015,                0.28094,                 1.6359,                 1.2298,                 1.1992,             0.00021501,             0.00021501,             0.00021501
                     25,                 1.5181,                 1.3886,                  1.231,                0.59529,                0.55105,                0.53104,                0.26997,                 1.6565,                 1.2377,                 1.2074,             0.00021101,             0.00021101,             0.00021101
                     26,                 1.5121,                 1.3958,                 1.2438,                 0.6759,                0.50027,                0.52839,                0.27791,                 1.6548,                 1.2024,                 1.2094,             0.00020701,             0.00020701,             0.00020701
                     27,                 1.4921,                 1.3753,                 1.2363,                0.71598,                 0.4955,                0.54978,                0.29897,                 1.6518,                 1.2006,                 1.2006,             0.00020301,             0.00020301,             0.00020301
                     28,                 1.4842,                 1.3395,                 1.2201,                0.67246,                0.52016,                0.53948,                0.27647,                 1.6421,                 1.2029,                 1.2009,             0.00019901,             0.00019901,             0.00019901
                     29,                 1.4881,                 1.3373,                 1.2217,                0.64627,                0.52554,                0.56235,                0.29528,                 1.6378,                 1.2015,                  1.198,             0.00019501,             0.00019501,             0.00019501
                     30,                 1.4923,                 1.3317,                 1.2258,                0.73058,                0.51514,                0.57302,                0.30517,                 1.6533,                 1.1571,                 1.1971,             0.00019101,             0.00019101,             0.00019101
                     31,                 1.4924,                 1.3224,                 1.2254,                0.66748,                 0.5228,                0.56781,                0.29578,                 1.6403,                 1.1609,                 1.2019,             0.00018701,             0.00018701,             0.00018701
                     32,                 1.4672,                 1.3125,                 1.2118,                0.56411,                0.65102,                0.58362,                 0.3138,                 1.6438,                 1.1917,                 1.2019,             0.00018301,             0.00018301,             0.00018301
                     33,                 1.4882,                 1.3089,                 1.2155,                0.69534,                0.58528,                0.61452,                 0.3174,                 1.6279,                 1.1368,                 1.1844,             0.00017901,             0.00017901,             0.00017901
                     34,                 1.4437,                 1.2705,                 1.1997,                 0.7111,                0.55348,                0.59755,                0.30982,                  1.635,                 1.1727,                 1.1898,             0.00017501,             0.00017501,             0.00017501
                     35,                 1.4499,                 1.2665,                  1.201,                0.68125,                0.58067,                0.59692,                0.31817,                 1.6416,                 1.1589,                 1.1952,             0.00017101,             0.00017101,             0.00017101
                     36,                 1.4353,                 1.2632,                 1.1953,                0.66918,                0.52171,                0.54897,                0.28892,                 1.6507,                 1.1736,                 1.1966,             0.00016701,             0.00016701,             0.00016701
                     37,                 1.4331,                 1.2763,                 1.1949,                0.66804,                0.55367,                 0.5891,                0.31505,                 1.6342,                 1.1414,                 1.1973,             0.00016301,             0.00016301,             0.00016301
                     38,                 1.4417,                 1.2435,                 1.1945,                0.69512,                0.55346,                0.61526,                0.32868,                 1.6421,                 1.1473,                 1.2014,             0.00015901,             0.00015901,             0.00015901
                     39,                 1.4367,                 1.2344,                 1.1958,                0.68574,                 0.5737,                0.58982,                 0.3223,                 1.6228,                 1.1318,                 1.1862,             0.00015501,             0.00015501,             0.00015501
