                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9774,                 8.1824,                 4.0971,                0.00179,                0.11701,                0.00402,                0.00146,                 4.0506,                 4.9139,                 3.7271,             8.9865e-05,             8.9865e-05,             8.9865e-05
                      1,                 3.4689,                 6.1007,                 3.3628,                 0.0036,                0.30095,                0.01323,                0.00354,                  3.435,                   3.94,                 2.7646,             0.00017096,             0.00017096,             0.00017096
                      2,                 3.1691,                 4.5783,                 2.8284,                0.16957,                0.10524,                0.06179,                0.01962,                  2.969,                 3.0756,                 2.3583,             0.00024315,             0.00024315,             0.00024315
                      3,                 2.9011,                 3.7218,                 2.4939,                 0.2095,                0.16371,                0.10141,                0.03348,                 2.7907,                 2.8015,                 2.1589,             0.00022991,             0.00022991,             0.00022991
                      4,                 2.7186,                 3.3188,                 2.2981,                0.21782,                0.17057,                0.10293,                0.03383,                 2.6685,                 2.7693,                 2.0353,             0.00022991,             0.00022991,             0.00022991
                      5,                 2.6124,                 3.0608,                 2.1814,                0.27181,                0.19055,                0.14448,                0.05041,                 2.5105,                  2.483,                 1.9318,             0.00021654,             0.00021654,             0.00021654
                      6,                 2.5131,                 2.8973,                 2.0873,                0.26777,                0.23424,                0.15792,                0.06074,                 2.3918,                 2.3803,                 1.8785,             0.00020317,             0.00020317,             0.00020317
                      7,                 2.4471,                 2.7548,                 2.0293,                0.30075,                0.24718,                0.19226,                0.06821,                 2.4211,                 2.2818,                 1.8649,             0.00018981,             0.00018981,             0.00018981
                      8,                 2.3813,                  2.652,                 1.9659,                0.34547,                0.27632,                0.23152,                0.08732,                 2.3286,                 2.1571,                 1.8171,             0.00017644,             0.00017644,             0.00017644
                      9,                 2.3451,                 2.5811,                 1.9305,                0.34054,                0.28294,                0.22649,                0.08637,                 2.3251,                 2.2091,                  1.803,             0.00016308,             0.00016308,             0.00016308
                     10,                 2.3155,                 2.4798,                 1.8885,                0.36509,                0.29347,                0.26121,                0.10008,                 2.2227,                 2.0453,                 1.7381,             0.00014971,             0.00014971,             0.00014971
                     11,                  2.264,                 2.3695,                 1.8574,                0.37648,                0.32245,                0.27617,                0.11139,                 2.1745,                  2.001,                 1.7007,             0.00013635,             0.00013635,             0.00013635
                     12,                  2.215,                 2.2952,                 1.8197,                0.40952,                0.32069,                0.29628,                 0.1184,                 2.1879,                 1.9385,                 1.7073,             0.00012298,             0.00012298,             0.00012298
                     13,                  2.197,                 2.2484,                 1.8027,                0.40319,                0.33393,                0.30013,                0.12326,                 2.1303,                 1.9036,                 1.6775,             0.00010962,             0.00010962,             0.00010962
                     14,                 2.1758,                 2.2135,                 1.7788,                0.42638,                0.34081,                0.31905,                0.12977,                 2.1247,                 1.8758,                 1.6611,             9.6255e-05,             9.6255e-05,             9.6255e-05
                     15,                 2.1601,                 2.1661,                 1.7636,                0.43399,                0.34989,                0.32677,                0.13696,                 2.0852,                 1.8492,                 1.6395,              8.289e-05,              8.289e-05,              8.289e-05
                     16,                  2.144,                  2.138,                 1.7505,                 0.4414,                0.35153,                 0.3362,                0.14034,                 2.0867,                 1.8276,                 1.6353,             6.9525e-05,             6.9525e-05,             6.9525e-05
                     17,                 2.1225,                 2.0885,                 1.7294,                0.43916,                0.36409,                0.33906,                0.14197,                 2.0714,                 1.8005,                 1.6316,              5.616e-05,              5.616e-05,              5.616e-05
                     18,                 2.1017,                 2.0664,                 1.7167,                0.44465,                  0.366,                0.34276,                0.14475,                 2.0595,                  1.789,                 1.6229,             4.2795e-05,             4.2795e-05,             4.2795e-05
                     19,                 2.0901,                 2.0518,                  1.708,                0.45589,                0.37748,                0.36035,                0.15344,                 2.0497,                 1.7597,                  1.615,              2.943e-05,              2.943e-05,              2.943e-05
