                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9897,                 5.3358,                 1.6032,                0.41453,                0.25185,                0.26617,                0.11715,                 1.9231,                 2.5432,                  1.403,             0.00010079,             0.00010079,             0.00010079
                      2,                 1.8466,                 2.3165,                 1.4835,                0.43827,                0.31948,                0.30197,                0.13335,                 1.8859,                 2.0132,                 1.3718,              0.0001978,              0.0001978,              0.0001978
                      3,                 1.8283,                 2.1141,                 1.4678,                0.64513,                0.28505,                0.33698,                0.14094,                 1.8599,                 1.7783,                 1.3544,              0.0002908,              0.0002908,              0.0002908
                      4,                 1.7869,                 1.9455,                 1.4455,                0.66654,                0.29316,                0.29724,                0.13077,                 1.8684,                 1.6805,                 1.3528,               0.000285,               0.000285,               0.000285
                      5,                 1.7603,                  1.864,                 1.4236,                0.52176,                0.30078,                0.29683,                0.13204,                 1.7966,                 1.6774,                 1.3219,               0.000285,               0.000285,               0.000285
                      6,                  1.717,                 1.7774,                 1.3962,                0.74299,                0.34646,                 0.3744,                 0.1695,                 1.7928,                 1.4769,                 1.3101,               0.000279,               0.000279,               0.000279
