                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8535,                  9.707,                 4.0814,                0.00221,                0.09548,                0.00141,                0.00036,                 4.2403,                 4.8751,                 3.7512,             8.9865e-05,             8.9865e-05,             8.9865e-05
                      1,                 3.4415,                 7.1676,                 3.3407,                0.10889,                0.01983,                 0.0112,                0.00319,                 3.5365,                  3.943,                 2.8756,             0.00016206,             0.00016206,             0.00016206
                      2,                 3.1109,                 5.0834,                 2.8394,                0.18348,                0.08079,                0.05688,                0.01794,                 3.0654,                 3.2524,                 2.4358,             0.00021643,             0.00021643,             0.00021643
                      3,                 2.9012,                 3.9579,                 2.5379,                 0.3631,                   0.13,                0.09795,                0.03135,                 2.8289,                 2.8832,                 2.2043,             0.00018981,             0.00018981,             0.00018981
                      4,                   2.75,                 3.3853,                 2.3627,                0.23749,                0.16343,                0.12205,                0.04077,                 2.6614,                 2.6103,                 2.0743,             0.00018981,             0.00018981,             0.00018981
                      5,                 2.6296,                 3.0509,                 2.2451,                0.28282,                0.22807,                0.16677,                0.05686,                 2.5646,                 2.3893,                 1.9827,             0.00016308,             0.00016308,             0.00016308
                      6,                 2.5541,                 2.8448,                 2.1477,                0.29306,                0.24702,                0.19235,                 0.0688,                  2.457,                 2.2923,                 1.9106,             0.00013635,             0.00013635,             0.00013635
                      7,                 2.4936,                 2.7142,                 2.0946,                0.30176,                0.27051,                 0.2071,                0.07513,                 2.4104,                 2.2119,                 1.8779,             0.00010962,             0.00010962,             0.00010962
                      8,                  2.431,                  2.609,                 2.0433,                0.33912,                0.28485,                0.22537,                0.08143,                 2.3769,                 2.1664,                 1.8415,              8.289e-05,              8.289e-05,              8.289e-05
                      9,                 2.3992,                 2.5403,                 2.0177,                 0.3237,                0.29329,                 0.2323,                0.08634,                 2.3253,                 2.1025,                 1.8188,              5.616e-05,              5.616e-05,              5.616e-05
