                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.021,                 5.4608,                  1.611,                0.73463,                0.12807,                0.12376,                0.04719,                 2.0065,                 4.5676,                 1.3723,             0.00010079,             0.00010079,             0.00010079
                      2,                 1.8834,                 3.5809,                 1.4826,                0.45275,                0.22322,                0.22162,                0.09591,                 1.9198,                 3.2602,                 1.3543,              0.0001938,              0.0001938,              0.0001938
                      3,                 1.8535,                 2.8812,                 1.4584,                0.49465,                0.24981,                0.23758,                0.10014,                 1.9737,                   2.53,                 1.3708,             0.00027881,             0.00027881,             0.00027881
                      4,                 1.8054,                 2.3928,                 1.4265,                0.51872,                 0.2523,                0.30452,                0.13952,                 1.8396,                 2.0556,                 1.3136,               0.000267,               0.000267,               0.000267
                      5,                 1.7888,                 2.1681,                  1.397,                0.49384,                0.30851,                0.34225,                0.15464,                 1.8118,                 1.8332,                 1.2869,               0.000267,               0.000267,               0.000267
                      6,                 1.7264,                 2.0124,                 1.3683,                0.60753,                0.33124,                0.36712,                0.16528,                 1.8701,                 1.8016,                  1.301,               0.000255,               0.000255,               0.000255
                      7,                 1.7186,                 1.8967,                 1.3537,                0.56469,                0.32337,                0.36507,                0.16174,                 1.7362,                  1.611,                 1.2609,             0.00024301,             0.00024301,             0.00024301
                      8,                 1.6898,                 1.8431,                 1.3501,                 0.5268,                0.38443,                0.43753,                0.19898,                 1.7538,                 1.5462,                  1.254,             0.00023101,             0.00023101,             0.00023101
                      9,                 1.6666,                 1.7584,                 1.3236,                0.57742,                 0.3621,                0.39374,                0.17646,                  1.745,                 1.5173,                  1.254,             0.00021901,             0.00021901,             0.00021901
                     10,                  1.662,                 1.7112,                 1.3322,                0.56584,                0.37096,                0.43623,                0.21316,                  1.747,                  1.493,                 1.2402,             0.00020701,             0.00020701,             0.00020701
                     11,                 1.6303,                 1.6737,                  1.308,                0.58415,                0.39977,                0.43734,                0.20777,                 1.7048,                 1.4633,                 1.2381,             0.00019501,             0.00019501,             0.00019501
                     12,                 1.6035,                 1.6396,                  1.308,                0.50315,                0.43038,                0.46224,                0.23563,                 1.6958,                 1.3811,                 1.2271,             0.00018301,             0.00018301,             0.00018301
                     13,                  1.593,                 1.5978,                 1.3007,                0.56215,                0.43685,                0.47684,                0.24471,                  1.683,                 1.4018,                 1.2204,             0.00017101,             0.00017101,             0.00017101
                     14,                 1.5705,                 1.5437,                 1.2657,                0.60116,                0.45413,                0.48029,                0.23961,                 1.6636,                  1.355,                 1.2001,             0.00015901,             0.00015901,             0.00015901
                     15,                 1.5649,                 1.5412,                 1.2718,                0.44263,                0.51028,                 0.5081,                0.25505,                 1.6621,                 1.3569,                 1.2135,             0.00014702,             0.00014702,             0.00014702
                     16,                 1.6184,                 1.4863,                 1.2853,                0.58064,                0.49441,                0.49052,                0.25801,                 1.6788,                 1.3296,                 1.2141,             0.00013502,             0.00013502,             0.00013502
                     17,                 1.5893,                 1.4418,                 1.2644,                0.62079,                0.49918,                 0.5032,                0.26389,                 1.6454,                 1.3003,                 1.1979,             0.00012302,             0.00012302,             0.00012302
                     18,                 1.5609,                 1.3955,                 1.2501,                0.63553,                0.49787,                0.50356,                0.26916,                 1.6334,                 1.2642,                 1.1907,             0.00011102,             0.00011102,             0.00011102
                     19,                 1.5476,                 1.3708,                 1.2507,                0.60076,                0.55702,                0.53721,                0.28733,                 1.6314,                 1.2677,                 1.1919,              9.902e-05,              9.902e-05,              9.902e-05
                     20,                 1.5258,                   1.33,                 1.2309,                0.61831,                0.51946,                0.51067,                0.26734,                 1.6359,                 1.2477,                   1.19,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     21,                 1.5212,                 1.3181,                 1.2328,                0.64813,                0.52299,                 0.5261,                0.28454,                 1.6278,                 1.2366,                 1.1859,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     22,                 1.5094,                  1.286,                  1.221,                0.63767,                0.55538,                0.54468,                0.29312,                  1.659,                 1.2141,                 1.1945,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     23,                 1.4811,                 1.2539,                 1.2079,                0.62247,                0.55968,                0.53635,                0.28739,                 1.6378,                 1.2207,                 1.1838,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     24,                 1.4676,                 1.2471,                 1.2069,                0.65292,                0.51762,                0.54778,                0.29803,                 1.6171,                 1.1951,                  1.176,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     25,                 1.4492,                 1.2233,                 1.1853,                0.63991,                0.58517,                0.55506,                0.30054,                 1.6234,                 1.1765,                 1.1785,             2.7028e-05,             2.7028e-05,             2.7028e-05
