                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 2.1178,                 2.1891,                 1.7317,                 0.4501,                0.36395,                 0.3419,                 0.1476,                 2.0343,                 1.7945,                 1.5934,             0.00018446,             0.00018446,             0.00018446
                     19,                 2.1036,                  2.161,                 1.7103,                0.46556,                0.38124,                0.35468,                0.14863,                 2.0263,                 1.7489,                 1.5845,             0.00017912,             0.00017912,             0.00017912
                     20,                 2.0816,                 2.1373,                 1.7014,                0.47195,                0.36966,                0.36421,                0.15663,                 2.0121,                 1.7547,                 1.5829,             0.00017377,             0.00017377,             0.00017377
                     21,                   2.07,                 2.1095,                 1.6692,                0.47833,                0.40399,                0.37635,                0.16053,                 2.0109,                 1.7151,                 1.5722,             0.00016843,             0.00016843,             0.00016843
                     22,                 2.0569,                 2.0733,                 1.6638,                0.50142,                0.38129,                0.38972,                0.16672,                 2.0014,                 1.7037,                 1.5693,             0.00016308,             0.00016308,             0.00016308
                     23,                 2.0565,                 2.0817,                 1.6676,                0.49254,                 0.3918,                0.39352,                0.16967,                  1.981,                 1.6837,                 1.5566,             0.00015773,             0.00015773,             0.00015773
                     24,                 2.0405,                 2.0445,                 1.6509,                0.48231,                0.40221,                0.38243,                0.16667,                 2.0007,                 1.6916,                 1.5599,             0.00015239,             0.00015239,             0.00015239
                     25,                  2.021,                 1.9994,                 1.6333,                0.51555,                0.40186,                0.40215,                0.17694,                 1.9562,                 1.6369,                 1.5316,             0.00014704,             0.00014704,             0.00014704
                     26,                 2.0106,                  2.021,                 1.6391,                0.50237,                0.41823,                0.41369,                0.17866,                  1.962,                 1.6333,                   1.54,              0.0001417,              0.0001417,              0.0001417
                     27,                 2.0017,                 1.9763,                 1.6274,                0.50845,                0.42921,                0.41888,                0.18265,                 1.9469,                 1.6148,                 1.5204,             0.00013635,             0.00013635,             0.00013635
                     28,                 1.9945,                 1.9889,                 1.6167,                0.52512,                0.42141,                0.41914,                0.18444,                 1.9398,                 1.6063,                 1.5165,               0.000131,               0.000131,               0.000131
                     29,                 1.9836,                 1.9598,                 1.6019,                0.51884,                0.43487,                0.42931,                0.18876,                 1.9341,                 1.5992,                  1.509,             0.00012566,             0.00012566,             0.00012566
                     30,                 1.9737,                 1.9419,                 1.6014,                0.52761,                0.42714,                0.43448,                0.19177,                 1.9345,                 1.5785,                 1.5145,             0.00012031,             0.00012031,             0.00012031
                     31,                 1.9631,                 1.9272,                  1.595,                0.52497,                0.43558,                0.43916,                0.19391,                 1.9313,                 1.5723,                 1.5071,             0.00011497,             0.00011497,             0.00011497
                     32,                 1.9737,                 1.9253,                 1.5899,                0.54396,                0.43857,                0.45081,                0.20118,                 1.9205,                 1.5491,                 1.4973,             0.00010962,             0.00010962,             0.00010962
                     33,                 1.9474,                 1.8995,                 1.5794,                0.54756,                0.44242,                0.45004,                0.19954,                 1.9114,                 1.5457,                 1.4973,             0.00010427,             0.00010427,             0.00010427
                     34,                 1.9516,                 1.9094,                 1.5823,                0.56084,                0.43796,                0.45029,                0.20084,                 1.9015,                 1.5493,                  1.488,             9.8928e-05,             9.8928e-05,             9.8928e-05
                     35,                  1.922,                 1.8856,                 1.5682,                 0.5579,                0.43759,                 0.4527,                0.20322,                 1.8923,                 1.5359,                 1.4837,             9.3582e-05,             9.3582e-05,             9.3582e-05
                     36,                 1.9298,                 1.8617,                 1.5656,                0.55799,                0.44748,                0.45936,                0.20619,                 1.8945,                  1.518,                 1.4864,             8.8236e-05,             8.8236e-05,             8.8236e-05
                     37,                  1.918,                 1.8451,                 1.5606,                0.57193,                0.44828,                0.46679,                0.20888,                 1.8858,                 1.5124,                 1.4831,              8.289e-05,              8.289e-05,              8.289e-05
                     38,                 1.9086,                 1.8455,                 1.5552,                0.56556,                0.44951,                0.46643,                0.21153,                 1.8853,                 1.5031,                 1.4761,             7.7544e-05,             7.7544e-05,             7.7544e-05
                     39,                 1.9122,                 1.8385,                 1.5401,                0.58157,                0.44928,                0.47005,                0.21196,                 1.8829,                 1.5062,                 1.4759,             7.2198e-05,             7.2198e-05,             7.2198e-05
                     40,                 1.9012,                 1.8261,                  1.543,                0.58419,                0.45019,                0.46783,                 0.2102,                 1.8786,                 1.5027,                 1.4708,             6.6852e-05,             6.6852e-05,             6.6852e-05
                     41,                 1.9035,                 1.7514,                 1.5397,                 0.5736,                0.44527,                 0.4672,                0.20922,                 1.8874,                  1.503,                 1.4743,             6.1506e-05,             6.1506e-05,             6.1506e-05
                     42,                 1.8818,                 1.7385,                 1.5346,                0.57676,                0.45506,                0.47159,                0.21099,                 1.8771,                 1.4923,                 1.4643,              5.616e-05,              5.616e-05,              5.616e-05
                     43,                 1.8771,                 1.7276,                 1.5206,                0.57982,                 0.4569,                0.47779,                0.21562,                 1.8706,                  1.484,                 1.4613,             5.0814e-05,             5.0814e-05,             5.0814e-05
                     44,                 1.8604,                 1.6981,                  1.511,                0.59163,                0.44966,                0.47573,                0.21735,                  1.862,                 1.4771,                 1.4567,             4.5468e-05,             4.5468e-05,             4.5468e-05
                     45,                  1.857,                 1.6945,                 1.5062,                0.59005,                0.45738,                0.47854,                 0.2186,                 1.8651,                 1.4721,                 1.4582,             4.0122e-05,             4.0122e-05,             4.0122e-05
                     46,                 1.8515,                 1.6867,                 1.4999,                0.60288,                0.45257,                 0.4836,                0.22062,                 1.8599,                   1.47,                 1.4562,             3.4776e-05,             3.4776e-05,             3.4776e-05
                     47,                 1.8345,                 1.6664,                 1.4949,                0.60545,                0.45471,                0.48547,                0.22223,                 1.8585,                 1.4601,                 1.4527,              2.943e-05,              2.943e-05,              2.943e-05
                     48,                  1.833,                 1.6598,                 1.4941,                0.59557,                0.46113,                0.48754,                0.22302,                 1.8567,                 1.4521,                 1.4517,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     49,                 1.8202,                 1.6604,                 1.4906,                0.58909,                0.46626,                 0.4875,                0.22418,                 1.8519,                 1.4516,                 1.4491,             1.8738e-05,             1.8738e-05,             1.8738e-05
                     50,                 1.8276,                 1.6612,                 1.4887,                0.59602,                0.46406,                0.48926,                0.22319,                 1.8539,                 1.4505,                 1.4508,             1.3392e-05,             1.3392e-05,             1.3392e-05
