                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9474,                 8.1835,                  4.102,                0.00185,                0.10375,                0.00402,                0.00096,                 4.1443,                 4.9625,                 3.7727,             8.9865e-05,             8.9865e-05,             8.9865e-05
                      2,                 3.4873,                  6.118,                 3.3857,                0.10024,                0.02454,                0.01329,                0.00353,                 3.3935,                 4.1296,                 2.7937,              0.0001763,              0.0001763,              0.0001763
                      3,                 3.1635,                 4.5394,                  2.844,                0.16521,                0.09685,                0.05869,                0.01801,                 2.9592,                 3.0948,                 2.3617,             0.00025918,             0.00025918,             0.00025918
                      4,                 2.9236,                 3.6955,                 2.5183,                0.22591,                0.13988,                0.09083,                0.03018,                  2.782,                 2.8245,                 2.1766,             0.00025396,             0.00025396,             0.00025396
                      5,                 2.7637,                 3.2985,                 2.3158,                0.21043,                 0.1655,                0.10438,                  0.039,                 2.6172,                 2.7024,                 2.0248,             0.00025396,             0.00025396,             0.00025396
                      6,                 2.6012,                 3.0346,                 2.1746,                 0.2392,                0.19337,                0.13948,                0.04922,                 2.5184,                 2.5253,                   1.95,             0.00024862,             0.00024862,             0.00024862
                      7,                  2.511,                 2.8534,                 2.0761,                0.28209,                0.24949,                0.17795,                0.06414,                  2.372,                 2.4094,                  1.861,             0.00024327,             0.00024327,             0.00024327
                      8,                 2.4473,                 2.7417,                 2.0175,                0.30255,                0.23934,                0.18403,                 0.0694,                 2.3692,                 2.2914,                 1.8456,             0.00023792,             0.00023792,             0.00023792
                      9,                 2.3825,                 2.6199,                 1.9504,                0.30146,                0.29061,                0.22517,                0.08563,                 2.3037,                 2.2115,                 1.7915,             0.00023258,             0.00023258,             0.00023258
                     10,                  2.343,                 2.5431,                 1.9083,                0.33713,                0.28563,                0.23861,                0.09069,                 2.2703,                 2.1226,                 1.7575,             0.00022723,             0.00022723,             0.00022723
                     11,                 2.2876,                 2.4458,                 1.8597,                0.39128,                 0.2937,                0.26914,                0.10474,                  2.213,                  2.033,                 1.7273,             0.00022189,             0.00022189,             0.00022189
                     12,                 2.2641,                 2.4018,                 1.8314,                   0.39,                0.30816,                0.28045,                0.11258,                 2.1612,                 2.0148,                 1.6884,             0.00021654,             0.00021654,             0.00021654
                     13,                 2.2307,                 2.3596,                 1.8131,                0.36898,                0.30584,                0.26115,                0.10555,                 2.1378,                 2.0177,                  1.673,             0.00021119,             0.00021119,             0.00021119
                     14,                 2.1925,                 2.3007,                 1.7878,                 0.3746,                0.33638,                0.26737,                0.10822,                  2.133,                 1.9699,                 1.6615,             0.00020585,             0.00020585,             0.00020585
                     15,                  2.173,                 2.2677,                 1.7637,                0.41516,                0.34586,                0.31552,                0.13293,                 2.0959,                 1.8841,                 1.6355,              0.0002005,              0.0002005,              0.0002005
                     16,                 2.1631,                 2.2687,                 1.7606,                0.44478,                0.34209,                0.33575,                0.14036,                 2.0787,                 1.8321,                 1.6221,             0.00019516,             0.00019516,             0.00019516
                     17,                 2.1474,                  2.223,                 1.7309,                0.44682,                0.36208,                0.33145,                0.13729,                 2.0709,                 1.8223,                 1.6093,             0.00018981,             0.00018981,             0.00018981
